név,érkezési_dátum,lejárati_dátum,súly_kg,típus
cukkini,2025-09-20,2025-09-30,0.74,z
alma,2025-09-20,2025-10-05,1.04,gy
eper,2025-09-20,2025-10-02,1.01,gy
citrom,2025-09-19,2025-10-03,1.27,gy
barack,2025-09-17,2025-09-26,0.96,gy
körte,2025-09-21,2025-10-05,0.34,gy
paprika,2025-09-18,2025-09-27,0.37,z
narancs,2025-09-22,2025-10-01,1.42,gy
krumpli,2025-09-18,2025-09-26,0.59,z
körte,2025-09-22,2025-10-03,0.24,gy
eper,2025-09-22,2025-10-01,1.80,gy
körte,2025-09-20,2025-09-30,1.02,gy
eper,2025-09-20,2025-09-29,1.62,gy
káposzta,2025-09-22,2025-10-03,0.25,z
répa,2025-09-22,2025-09-29,0.97,z
banán,2025-09-22,2025-09-27,1.97,gy
paprika,2025-09-19,2025-09-24,2.46,z
körte,2025-09-17,2025-09-22,1.78,gy
krumpli,2025-09-19,2025-10-03,1.37,z
málna,2025-09-21,2025-10-03,1.30,gy
paradicsom,2025-09-20,2025-09-25,0.39,z
brokkoli,2025-09-18,2025-10-03,1.96,z
krumpli,2025-09-17,2025-10-01,1.54,z
cseresznye,2025-09-19,2025-10-03,1.82,gy
cseresznye,2025-09-20,2025-09-27,0.68,gy
hagyma,2025-09-22,2025-09-27,2.35,z
eper,2025-09-19,2025-09-24,0.13,gy
répa,2025-09-18,2025-09-24,1.15,z
banán,2025-09-17,2025-10-01,0.38,gy
eper,2025-09-19,2025-10-01,1.85,gy
karfiol,2025-09-17,2025-09-24,0.96,z
alma,2025-09-19,2025-09-28,1.36,gy
eper,2025-09-20,2025-09-30,0.49,gy
krumpli,2025-09-20,2025-09-30,0.81,z
krumpli,2025-09-20,2025-10-02,1.45,z
szőlő,2025-09-20,2025-10-04,0.14,gy
eper,2025-09-20,2025-10-04,1.50,gy
brokkoli,2025-09-18,2025-10-03,1.49,z
szőlő,2025-09-22,2025-10-02,1.59,gy
káposzta,2025-09-21,2025-09-28,1.60,z
málna,2025-09-20,2025-09-30,1.82,gy
paradicsom,2025-09-17,2025-09-26,2.32,z
citrom,2025-09-18,2025-09-25,1.11,gy
karfiol,2025-09-20,2025-10-05,1.90,z
szőlő,2025-09-21,2025-09-30,0.34,gy
paprika,2025-09-21,2025-10-02,0.89,z
répa,2025-09-17,2025-09-22,0.18,z
brokkoli,2025-09-21,2025-09-27,0.44,z
cukkini,2025-09-18,2025-09-27,0.96,z
káposzta,2025-09-22,2025-10-05,1.68,z
cseresznye,2025-09-20,2025-10-01,1.73,gy
répa,2025-09-18,2025-09-28,1.77,z
barack,2025-09-20,2025-09-27,0.55,gy
káposzta,2025-09-20,2025-09-29,1.73,z
paradicsom,2025-09-20,2025-10-01,0.79,z
narancs,2025-09-22,2025-10-03,1.44,gy
eper,2025-09-18,2025-09-24,0.63,gy
alma,2025-09-19,2025-09-25,0.27,gy
hagyma,2025-09-20,2025-10-04,1.41,z
brokkoli,2025-09-18,2025-09-28,0.92,z
cseresznye,2025-09-22,2025-10-02,0.19,gy
uborka,2025-09-22,2025-10-02,1.77,z
szőlő,2025-09-21,2025-09-28,0.29,gy
krumpli,2025-09-19,2025-09-29,1.13,z
eper,2025-09-19,2025-10-01,0.59,gy
alma,2025-09-21,2025-10-04,1.97,gy
répa,2025-09-22,2025-10-04,1.34,z
banán,2025-09-18,2025-09-28,1.43,gy
uborka,2025-09-21,2025-10-06,0.63,z
citrom,2025-09-19,2025-09-29,1.04,gy
hagyma,2025-09-19,2025-09-30,0.35,z
cukkini,2025-09-18,2025-09-23,0.71,z
paradicsom,2025-09-20,2025-10-02,2.40,z
málna,2025-09-20,2025-09-30,1.23,gy
szőlő,2025-09-19,2025-09-26,0.47,gy
karfiol,2025-09-19,2025-09-25,1.11,z
citrom,2025-09-18,2025-09-28,0.22,gy
brokkoli,2025-09-22,2025-10-02,1.08,z
uborka,2025-09-18,2025-09-26,0.87,z
paradicsom,2025-09-21,2025-10-02,2.03,z
banán,2025-09-22,2025-09-30,0.51,gy
káposzta,2025-09-21,2025-10-01,1.85,z
szőlő,2025-09-18,2025-09-26,0.75,gy
eper,2025-09-20,2025-09-29,0.41,gy
hagyma,2025-09-17,2025-09-23,0.66,z
cseresznye,2025-09-21,2025-10-01,1.64,gy
répa,2025-09-20,2025-10-04,1.26,z
citrom,2025-09-20,2025-09-29,0.95,gy
karfiol,2025-09-22,2025-10-04,0.72,z
málna,2025-09-19,2025-09-29,0.53,gy
barack,2025-09-19,2025-09-26,1.16,gy
uborka,2025-09-18,2025-09-28,0.44,z
alma,2025-09-22,2025-10-05,1.73,gy
cukkini,2025-09-21,2025-09-28,2.29,z
szőlő,2025-09-17,2025-09-26,0.82,gy
krumpli,2025-09-20,2025-10-01,2.41,z
banán,2025-09-19,2025-09-28,0.91,gy
káposzta,2025-09-21,2025-09-30,1.25,z
eper,2025-09-22,2025-10-06,1.33,gy
